st_name,stcd
土河套,50633254
大新镇,50633353
白潭,50633450
魏桥,50633500
白潭,50666096
崔桥,50822100
常庄闸,50822102
阎三湾,50605541
宋沟水库,50605542
垛上,50605543
头郭,50622880
边庄水库,50624751
朱庄,50625151
杨庄,50625156
闹店,50627351
李庄,50627352
大营(平顶山),50627500
北郭庄,50627501
房庄水库,50627502
白庄,50627503
白店,50627504
高铁炉,50627505
杨树沟,50627506
闹店镇,50627507
杨岗,50627508
宝丰,50627600
耿庄(宝丰),50627611
前营,50627612
商酒务,50627613
周旗营,50627614
肖旗营,50627615
赵庄,50627616
观音堂,50627617
熊寨,50222459
陡沟,50222600
孟寨,50222601
雷寨,50222701
施庄,50222702
江湾,50224000
姚庄,50224001
范店,50224002
康店,50224003
梁庙,50225400
铜钟,50225500
兰青,50225501
彭桥,50225502
高庄,50225503
大高庄,50226550
闾河店,50226600
杨店,50226650
王围孜,50226700
新丰集,50226750
王庄,50326451
傅寨,50326452
正阳,50326550
袁寨,50326600
李林水库,50326610
汝南埠,50326700
油坊店,50326701
岳城,50326702
李楼,50428600
罗头张庄,50428900
倪堂,50428901
郸城,50429000
秋渠,50429100
大马庄,50429101
岳庄,50429102
张完集,50429500
将军寺,50634200
汲冢,50634201
潘荒提水战,31026503
工农渠管理处,31026502
工农渠管理处,31006502
后罗村,31024015
鹤壁,31024150
马庄,31024907
赖家河,31024908
温家沟,31024910
寺望台,31024911
红星水库,31024913
故县,31024914
东申寨,31023800
柴郎柳,31023801
大林头村,31023803
马成精,41426950
中辛庄,41427000
冢上肖街,41427001
东冯营,41427002
上官村,41427200
齐营,41427201
西缑,41427202
牛屯,41427203
鲁邑寨,41427204
小果园,41427205
穆营,41427206
白道口,41427450
沙岗,41427451
小寨,41427452
小营,41427453
祝庄,41427454
李村,41427455
绳马场,41427557
申安张,50601051
长枪王,50601052
固厢乡,50601131
观街,50601132
陈庄,50601181
临颍,50622200
高宗寨,50622201
瓦店,50622507
罗庄,50665623
东鸣鹤,41607209
油房头,41612123
上观,41612126
白杨,41612127
张园,41612128
盐镇,41612129
河西,41612130
穆册,41612131
七峪,41612132
王岭,41612424
杜渠,41612425
宋王沟,41612426
小马沟,41612427
贺沟,41612428
耿沟,41612429
贾院,41612430
马沟,41612431
寻村,41612432
张坞,41612433
南坡,41612434
雷鼓台,41612435
石窑沟,41612436
东赵,41612437
陈宅,41612438
高岩,41612439
石门(宜阳）,41612440
后河水库,41626601
中玉,41626602
里沟,41628601
苏河,41628602
关庄,41628603
竹溪,41628604
花山,41628605
铁佛寺,41628751
刘河,41628752
栗封,41652408
黄塘,31020110
白莲坡,31020120
张三街,31020121
寨豁,31020122
郭顶,31020131
黄岭,31020132
司窑,31020133
玄坛庙,31020150
大底,31020151
南坡,31020152
博爱,31020200
许良,31020201
张木光,31020210
磨头,31020251
西金城,31020252
王保,31020253
西王贺,41422240
奉母,50622250
逍遥,50622300
石坡,50622701
张庄,50630220
阎岗,50633300
西华县,50633340
皮营,50633350
看张,50633351
孙董,50633352
东夏,50633650
吴店庄,50634053
严庄,50666471
小杨,50601053
大王,50601182
郾城区水利局,50604001
袁庄,50609311
化庄,50609312
商桥,50621750
十五里店,50628400
张胡魏,50634800
坡刘,50634853
王湾,50634854
苏侯,50634855
李庄,50609420
练集,50633800
邓城,50633801
后胡,50633802
贺庄,50633850
尚集,50635000
巴村,50635050
张庄,50635100
王爷庙,50635150
白寺,50635200
秦湘湖,50635201
刘屯,50635202
吴庄,50635203
曹渠,50666733
白村,50601111
头道庙,50602222
下汤,50602800
车场,50602840
南营,50602880
小团城,50604450
五道庙,50604480
石门(鲁山),50604501
鹁鸽吴,50604611
麦川,50604641
南杨庄,50608922
石人山,50622700
独嘴,50622750
下坪,50622800
想马河,50622801
二郎庙,50622850
坪沟,50622900
平沟,50622910
东下坪,50622950
母猪峡,50622951
东竹园,50622952
双石滚,50623000
坡根,50623010
十亩地洼,50623020
三岔口,50623030
国贝石,50623040
赵村(鲁山),50623050
火神庙(鲁山),50623060
白草坪,50623100
老虎笼,50623101
合庄,50623350
枣盘,50623351
南沟,50623450
豹子沟,50623500
五道庙,50623600
玉皇庙,50623650
王家庄,50623651
九道沟,50623700
玉皇庙,50623850
磁盘岭,50623900
背孜街,50624000
井河口,50624050
土门,50624100
构树庄,50624101
焦庄,50624120
马老庄,50624130
叶坪,50624150
王画庄,50624160
瓦屋,50624200
交口(鲁山),50624201
龚庄,50624202
红石崖,50624211
牛王庙,50624300
响潭沟,50624400
熊背,50624500
宝山,50624501
小石门,50624503
双柳树,50624504
三间房,50624505
西陈庄,50624511
上仓头,50624551
常庄,50624552
刘芳庄,50624553
界板沟,50624554
井泉,50624610
三间房,50624611
山刘庄,50624612
刘寨,50624613
余庄,50624614
萧何,50624615
韩信,50624616
鲁山,50624650
仓头,50624711
榆树庄,50624712
梁洼,50624750
郎坟,50624753
盆郭,50624754
史庄,50624755
碾盘庄,50625051
玉皇店,50627310
桔茨园,50628200
梅庙,50920700
侯岭,50920701
丁路口,50920702
孙楼,50920703
陈庄,50920704
刘河,50920705
条河,50920706
马桥,50920707
邸楼,50920708
浑河集,50921400
大王集,50921500
裴桥闸,50921501
唐楼,50921502
胡道口,50921503
蒋口,50930900
陈集,50931200
曹庄,50931201
乔集,50931202
温庄,50932200
茴村,50932400
蒋庄,50932401
洪路口,50963682
郭村,50827402
谢集镇,50827603
丁柿园,50827801
包公庙,50827900
田洼,50864401
睢阳区水务局,50900551
水池铺,50900555
坞墙,50900556
火胡庄,50920101
冯桥,50920401
开封,50823500
杏树园,41612142
段平,41612143
王庄,41612144
韩村,41612145
阎庄,41612146
上湾,41612147
杨村,41612149
张岭,41612251
竹元沟,41612252
张虎沟,41612253
上磙磨湾,41612254
楼上,41622701
太山庙,41622702
滕王沟,41622703
龙潭(嵩县),41646440
谢庄,41646441
疙瘩,41646442
下庙,41647603
童子庄,41647620
东沟(嵩县),41647630
大王沟,41647640
大王沟,41647641
老道沟,41647642
万村,41648700
旺坪,41648701
赵园,41648710
黄水庵,41648711
栗子元,41648712
上蛮峪,41648713
王坪,41648714
汪庄,41648720
箭口河,41648721
孟沟,41648722
茅沟,41650000
任凹,41650001
七泉,41650210
里沟,41650211
吕沟,41650212
草庙,41650213
石楼,41650214
九店乡,41650215
禹山,41651400
孙店,50625350
龙王庙,50625450
高峰,50625451
拜石,50625452
陈楼,50625453
栗树街,50625454
碾盘沟水库,50625455
榛子树,50625456
塔园沟,50625457
两河口(嵩县),50625500
蝉螳,50625550
石滚坪,50625551
蒲池,50625552
北沟,50625553
升坪,50625610
黄庄,50625650
道回,50625651
养育沟,50625658
虎尾岭,50626613
白河,62040500
下寺,62040501
大青,62040502
白云山,62040520
瓦房,62040530
栗扎树,62040540
火神庙(嵩县),62040550
竹园(1),62040560
佛坪,62041401
焦作,31020300
龙洞,31020303
南敬村,31020305
北朱村,31020309
桑园,31020355
赵庄,31020356
天平山水库,50201480
西双河,50201600
工程二局,50201901
信阳水利局,50201902
十三里桥,50201905
马店,50201906
金牛山,50201907
游河,50221850
阎庄,50222200
明港,50222350
彭家湾,50222700
武胜关,50222800
新店,50222850
老门,50222851
龙嘴,50222852
郭畈,50222853
马家畈,50222854
龙潭,50222855
老君洞水库,50222856
四望山,50222857
林场,50222858
检柴沟水库,50222859
桃园,50222860
塔耳湾,50222861
刘湾,50222862
台畈,50222900
天平山,50222950
麻树坦,50223000
大庙畈,50223250
新建,50223350
浉河港,50223400
黄龙寺,50223500
董家河,50223600
邱湾,50223610
马止沟,50223620
驼店,50223621
西新集,50223623
游河乡,50223624
堰口,50223625
东双河,50223750
清水,50223751
堰冲,50223752
杨堰,50223753
龙井沟,50223800
五里店,50223900
小杨庄,31022001
小店,31022002
小潭,41426055
僧固,41426103
常辛集,41426104
冯班枣,41426105
丰庄,41426106
王楼,41426107
司寨,41426108
庞古寨,41427100
胙城,41427150
新安,41427151
塔铺,41427152
朱寨,41427153
岳庄,41427155
张河,41427156
魏邱,41427157
沙口,41427158
新新街办事处,50603202
平顶山一矿,50603203
温集,50603206
滍阳,50625150
叶营,50625152
徐洼,50625155
井营,50627512
东洼,50627513
刘沟,50627514
郑州,50606600
华北水院,50606601
省委,50606611
顺店,50620900
井沟,50620901
冯庄,50620902
河刘,50620903
谷北,50620904
麻地川,50620905
牛头,50620950
毛栗沟,50620951
龙佛寺水库,50620952
黄土岭水库,50620953
牛头水库,50620954
鸠山,50621050
石门水库,50621051
赵庄,50621052
南寨,50621053
空窑,50621054
巴庄,50621401
前屯,50621405
杨园,50621406
小吕乡,50621407
李楼,50621408
古城,50622000
高庙董,50622001
钟楼,50622002
月湾,50622003
禹州,50622600
马坟,50622601
元木,50622602
刘家门,50627161
西马寨,50627162
浅井,50627163
东炉水库,50627164
李金寨,50627165
薛河,50627166
柏桥水库,50627167
鸿畅,50627168
山曹,50627169
神后,50627750
赵楼,50624911
临汝镇,50626500
关庙,50626501
神沟,50626502
乐寨,50626503
爻院水库,50626504
大张水库,50626505
朱沟村,50626506
寨湾,50626507
于窑,50626508
黄窑,50626509
大泉,50626510
下焦,50626511
荒草寺水库,50626512
西赵落,50626513
夏店,50626550
西马庄,50626551
朱沟村,50626552
寄料街,50626600
炉沟,50626601
陈沟水库,50626602
治墙,50626603
坡根,50626604
车厂,50626605
郭沟,50626606
郑铁,50626607
尹庄,50626608
任村,50626609
陈家,50626610
蟒窝,50626611
朝川,50626612
炉沟,50626614
西安沟,50626615
西安沟,50626617
蟒川,50626750
张沟,50626751
黑龙庙,50626752
半东,50626753
棉花窑,50626800
大泉,50626900
大峪店,50627000
大峪,50627001
常窑水库,41641006
礼召,41641007
程村,41641008
千秋镇,41641009
义马市,41641021
后何路口,50921200
业庙,50921300
白庙,50921401
桑固,50928800
刘堤圈,50929200
吴寨,50929700
司破楼,50929801
夏邑,50929900
王集,50930700
刘花园,50930701
辛集,50930800
苏庄,50930801
胡桥,50930901
郭店,50931000
刘大楼,50931001
歧河,50931002
骆集,50932000
袁楼,50932001
高楼,50962646
陈兴寨,50202500
寨河,50202501
苏岗,50224357
肖店,50224358
钱大湾,50225950
易洼,50226000
报安,50226001
魏岗,50226002
崔棚,50226003
李长店,50226004
陈寨,50226005
张老湾,50226006
赵桥,50226007
卢河,50226012
张岗水库,50226013
陈大湾,50226014
吴大湾,50226015
殷棚乡,50226016
方洼水库,50226017
马畈镇,50226018
屈岗,50226019
耿寨,50226020
老虎山,50226101
北向店,50226200
赵畈,50227207
雀村,50227208
陈洼,50227209
梁洼水库,50227210
邹棚,50227211
代楼,50227212
熊畈,50228415
万河,50228600
文殊,50228650
光山,50228800
王湾,50228850
汪河,50229552
焦作影视城,31020304
秋树沟,62001826
洪湖,62001827
黄沙,62007800
石灰岭,62007850
大坪,62008100
子母沟,62008210
酒馆,62008300
桑坪,62023801
行上,62023810
行上,62023811
罗家庄,62028620
德河,62028630
香坊沟,62028650
方家庄,62029100
黑烟镇,62034000
阳栗坪,62034001
新庄,62034700
石门,62034710
黄石庵,62035100
上口,62035101
军马河,62035300
白果,62035310
凉水泉,62035320
莎草沟,62035321
西万沟,62035322
宝玉河,62035330
张庄,62035340
杨盘(西峡),62035350
太平镇,62035500
银寺沟,62035501
二郎坪,62035700
栗坪,62035710
草湖峪,62035720
西庄河,62035721
下河,62035723
小集,62035724
瓦房庄,62035740
蛇尾,62035900
陈阳坪,62036500
虫岈,62036520
丁河,62036700
大竹,62036701
瓦房店,62036710
德胜,62036730
古峪,62036731
寺山(多),62036733
桑树,62036740
前营,62036800
石岭河水库,62044101
丹水,62046700
南湾,62046701
阳城,62046800
袁庄,62046801
黑虎庙,62046802
北凹,62046803
田关,62046804
别沟,62046805
杜店,62048251
吴岗,62048252
八迭堂,62048253
慈梅寺,62048254
二居委,62048255
回车,62048256
芒种桥,50920300
王楼闸,50920301
秦楼,50920302
尹庄,50920303
杜集,50920400
唐庄,50920402
柴庄,50920403
界沟,50920500
大侯,50921100
虞城,50928700
郑集,50928900
李魏庄,50929000
营盘,50929100
贾寨,50930000
利民,50930100
姜楼,50930600
张集,50931800
闻集,50961536
大王庄,50962421
水屯,50304304
黑石山,50323251
石板冲,50323252
大江庄,50323402
韦岗,50323601
林业村,50323602
杏花沟,50323606
石鼓庄,50323607
徐家庄,50323608
洛庄,50323610
诸市,50323755
李庄,50323756
沈楼,50323757
朱庄,50323801
刘阁,50324550
张庄,50324650
大邓庄,50324651
顺河,50324901
大雷沟,50324902
吴楼,50324903
洪堂村,50324904
刘庄,50325851
西杨庄,50325852
高门楼,50325853
阎楼,50325854
蓼堤镇,50825301
洼张,50825302
刘楼,50825351
潮庄,50826100
余公集,50826200
闫庄,50826201
程楼,50826202
赵新寨,50826203
一刀刘,50826204
白楼,50865376
睢县,50825350
三里庄,50608721
新安集,50634400
王寨,50635900
木庄,50636500
杨寨闸,50636501
卞路口乡,50636502
赵德营,50636650
赵德营,50636651
贾楼(沈丘),50667363
淅川,62001800
安沟(南阳),62001820
西簧,62001821
磨峪湾,62001822
白沙岗,62001823
仓坊,62001824
邹楼,62001825
大龙庙,62021801
梁凹,62021802
关帝,62021803
曹庄,62021805
袁岭,62021820
桐柏庙,62021822
毕家台,62021823
新建,62021824
党院,62021825
刘伙,62021826
杨岗,62021827
张河,62021829
裴营,62021830
涧沟,62021831
卢嘴,62025601
城关,62032400
重阳(新),62036300
毛家庄,62036721
大扒,62036722
杨湾,62036723
火星庙,62036724
柳树,62036725
淅川,62037700
黄庄,62038100
魏寨,50603204
程庄,50627519
襄城,50628050
东高皇,50628150
东高皇(1),50628151
尚店,50320050
刀子岭,50320100
袁门,50320150
苇子园,50320151
小王庄,50320152
长岭头,50320153
康庄,50320154
大王庄,50320155
尹楼,50320156
五座窑,50320157
雷庄,50320158
柏庄,50320200
安寨,50320450
王楼,50320600
庙街水库,50320651
石桥杨,50320652
上曹,50320653
王楼,50320654
滚河孙,50320655
扁担李,50320656
吴庄,50320657
平河,50629221
小李庄,50629311
大吴,50631501
师厂,50631505
白沙,50631601
坡岗李,50631602
万滩,50631603
省水文局,50631604
邱堂,50631605
芦岗,50631606
阎堂,50631607
板桥,50631608
三异张,50631700
蒲北孙,50631701
张庄,50631702
九龙镇,50631703
郑庵,50631704
姚家,50631705
韩寺,50631706
八岗,50631707
冯堂,50631708
马家,50631709
宋家,50631710
坡东李,50631750
东漳,50820400
雁鸣湖,50820401
狼城岗,50820402
关家,50820403
九堡,50820404
韩庄,50820500
徐家村,41607205
南翟坡,31021904
南翟坡,31005401
张唐马,31021740
南于店,31021741
大块,31021742
小吉,31021900
康庄,31021903
毛滩,31021945
古固寨,31022003
小河,31022004
洪门,31022005
地震局,50606608
铁路局,50606609
二七农委,50606616
